Length: 85, Average Loss: 0.7182, Std: 0.1730, Max Loss: 14.2288, Max Std: 5.8876, Samples: 7435
Length: 86, Average Loss: 0.7124, Std: 0.1609, Max Loss: 14.3041, Max Std: 6.0825, Samples: 7691
Length: 87, Average Loss: 0.7150, Std: 0.1909, Max Loss: 14.4267, Max Std: 8.0570, Samples: 8403
Length: 88, Average Loss: 0.7125, Std: 0.1648, Max Loss: 14.4007, Max Std: 6.3255, Samples: 6792
Length: 89, Average Loss: 0.7220, Std: 0.1693, Max Loss: 14.6582, Max Std: 6.5033, Samples: 9362
Length: 90, Average Loss: 0.7191, Std: 0.1752, Max Loss: 14.7116, Max Std: 6.3550, Samples: 8632
Length: 91, Average Loss: 0.7068, Std: 0.1536, Max Loss: 14.4656, Max Std: 5.9507, Samples: 7996
Length: 92, Average Loss: 0.7232, Std: 0.1702, Max Loss: 14.9421, Max Std: 6.5571, Samples: 8799
Length: 93, Average Loss: 0.7013, Std: 0.1779, Max Loss: 14.3663, Max Std: 6.5807, Samples: 8799
Length: 94, Average Loss: 0.7110, Std: 0.1567, Max Loss: 14.7236, Max Std: 6.1597, Samples: 10801
Length: 95, Average Loss: 0.7181, Std: 0.1798, Max Loss: 14.8610, Max Std: 6.6404, Samples: 8695
Length: 96, Average Loss: 0.7326, Std: 0.1900, Max Loss: 15.4495, Max Std: 7.6612, Samples: 9866
Length: 97, Average Loss: 0.7222, Std: 0.1782, Max Loss: 14.9107, Max Std: 6.6702, Samples: 6724
Length: 98, Average Loss: 0.7174, Std: 0.1679, Max Loss: 15.1734, Max Std: 6.9570, Samples: 7957
Length: 99, Average Loss: 0.7021, Std: 0.1695, Max Loss: 14.5520, Max Std: 6.3872, Samples: 8800
Length: 100, Average Loss: 0.7174, Std: 0.1854, Max Loss: 15.0307, Max Std: 6.6926, Samples: 13733
Length: 101, Average Loss: 0.7399, Std: 0.1891, Max Loss: 15.8362, Max Std: 7.4868, Samples: 8688
Length: 102, Average Loss: 0.7112, Std: 0.1574, Max Loss: 15.0170, Max Std: 6.0724, Samples: 8563
Length: 103, Average Loss: 0.6930, Std: 0.1492, Max Loss: 14.8697, Max Std: 5.9450, Samples: 7957
Length: 104, Average Loss: 0.7122, Std: 0.1611, Max Loss: 14.9839, Max Std: 5.9468, Samples: 7325
Length: 105, Average Loss: 0.7049, Std: 0.1721, Max Loss: 15.0842, Max Std: 6.7217, Samples: 8194
Length: 106, Average Loss: 0.7095, Std: 0.1709, Max Loss: 15.3192, Max Std: 7.2511, Samples: 8261
Length: 107, Average Loss: 0.7082, Std: 0.1621, Max Loss: 15.3687, Max Std: 7.0038, Samples: 8296
Length: 108, Average Loss: 0.6904, Std: 0.1724, Max Loss: 15.0390, Max Std: 6.7204, Samples: 8727
Length: 109, Average Loss: 0.6940, Std: 0.1540, Max Loss: 15.0644, Max Std: 6.3781, Samples: 7058
Length: 110, Average Loss: 0.6947, Std: 0.1558, Max Loss: 15.0223, Max Std: 6.4274, Samples: 6686
Length: 111, Average Loss: 0.7031, Std: 0.1811, Max Loss: 15.2791, Max Std: 6.9270, Samples: 8069
Length: 112, Average Loss: 0.7023, Std: 0.1559, Max Loss: 15.5873, Max Std: 7.0984, Samples: 7400
Length: 113, Average Loss: 0.7198, Std: 0.1754, Max Loss: 16.1990, Max Std: 7.6840, Samples: 7459
Length: 114, Average Loss: 0.7087, Std: 0.1668, Max Loss: 15.5546, Max Std: 6.4566, Samples: 7929
Length: 115, Average Loss: 0.7029, Std: 0.1606, Max Loss: 15.6506, Max Std: 6.8161, Samples: 7857
Length: 116, Average Loss: 0.7121, Std: 0.1618, Max Loss: 16.1634, Max Std: 7.3208, Samples: 7256
Length: 117, Average Loss: 0.7328, Std: 0.2125, Max Loss: 16.8951, Max Std: 9.7201, Samples: 7227
Length: 118, Average Loss: 0.7068, Std: 0.1539, Max Loss: 15.7054, Max Std: 6.5381, Samples: 6959
Length: 119, Average Loss: 0.6949, Std: 0.1840, Max Loss: 15.6203, Max Std: 7.3958, Samples: 6389
Length: 120, Average Loss: 0.7329, Std: 0.2069, Max Loss: 16.3276, Max Std: 8.1297, Samples: 15269
Length: 121, Average Loss: 0.7135, Std: 0.1967, Max Loss: 16.4070, Max Std: 8.3411, Samples: 7495
Length: 122, Average Loss: 0.7225, Std: 0.1782, Max Loss: 16.5731, Max Std: 7.9149, Samples: 5822
Length: 123, Average Loss: 0.7067, Std: 0.1870, Max Loss: 16.2563, Max Std: 7.4230, Samples: 6755
Length: 124, Average Loss: 0.6973, Std: 0.1759, Max Loss: 15.8549, Max Std: 7.2989, Samples: 8727
Length: 125, Average Loss: 0.7157, Std: 0.1756, Max Loss: 16.4589, Max Std: 7.9130, Samples: 7623
Length: 126, Average Loss: 0.7140, Std: 0.1707, Max Loss: 16.5219, Max Std: 7.5628, Samples: 7832
Length: 127, Average Loss: 0.7028, Std: 0.1662, Max Loss: 16.2210, Max Std: 7.2663, Samples: 6990
Length: 128, Average Loss: 0.7198, Std: 0.2176, Max Loss: 17.1919, Max Std: 9.8981, Samples: 7523
Length: 129, Average Loss: 0.7079, Std: 0.1680, Max Loss: 16.3909, Max Std: 7.3343, Samples: 7826
Length: 130, Average Loss: 0.6975, Std: 0.1670, Max Loss: 16.2656, Max Std: 7.3478, Samples: 7757
Length: 131, Average Loss: 0.7041, Std: 0.1714, Max Loss: 16.5005, Max Std: 7.6504, Samples: 8391
Length: 132, Average Loss: 0.7103, Std: 0.1779, Max Loss: 16.4319, Max Std: 8.0317, Samples: 7560
Length: 133, Average Loss: 0.6957, Std: 0.1581, Max Loss: 16.2795, Max Std: 7.4325, Samples: 6454
Length: 134, Average Loss: 0.7108, Std: 0.1671, Max Loss: 16.6738, Max Std: 7.5244, Samples: 7657
Length: 135, Average Loss: 0.6994, Std: 0.1757, Max Loss: 16.5636, Max Std: 7.5822, Samples: 6118
Length: 136, Average Loss: 0.6920, Std: 0.1461, Max Loss: 16.2601, Max Std: 6.6521, Samples: 7922
Length: 137, Average Loss: 0.7246, Std: 0.1926, Max Loss: 17.8471, Max Std: 9.5200, Samples: 6824
Length: 138, Average Loss: 0.6895, Std: 0.1570, Max Loss: 16.3100, Max Std: 6.9904, Samples: 7421
Length: 139, Average Loss: 0.7217, Std: 0.1608, Max Loss: 17.1636, Max Std: 7.5172, Samples: 7089
Length: 140, Average Loss: 0.7151, Std: 0.1831, Max Loss: 16.7424, Max Std: 7.4261, Samples: 13567
Length: 141, Average Loss: 0.7158, Std: 0.1712, Max Loss: 17.2422, Max Std: 7.8738, Samples: 7458
Length: 142, Average Loss: 0.7652, Std: 0.1955, Max Loss: 19.5549, Max Std: 10.5842, Samples: 5449
Length: 143, Average Loss: 0.7100, Std: 0.1600, Max Loss: 16.9813, Max Std: 7.3800, Samples: 5390
Length: 144, Average Loss: 0.7101, Std: 0.1713, Max Loss: 17.0935, Max Std: 7.7429, Samples: 6219
Length: 145, Average Loss: 0.7312, Std: 0.1873, Max Loss: 18.1791, Max Std: 9.7790, Samples: 7021
Length: 146, Average Loss: 0.7222, Std: 0.1651, Max Loss: 17.8207, Max Std: 8.4324, Samples: 6216
Length: 147, Average Loss: 0.7383, Std: 0.1726, Max Loss: 17.9961, Max Std: 8.2474, Samples: 5854
Length: 148, Average Loss: 0.7178, Std: 0.1647, Max Loss: 17.7553, Max Std: 7.9890, Samples: 7960
Length: 149, Average Loss: 0.7398, Std: 0.1931, Max Loss: 18.3898, Max Std: 9.5091, Samples: 6256
Length: 150, Average Loss: 0.7307, Std: 0.1904, Max Loss: 17.9473, Max Std: 8.6323, Samples: 6458
Length: 151, Average Loss: 0.7191, Std: 0.1621, Max Loss: 17.8592, Max Std: 7.8613, Samples: 5987
Length: 152, Average Loss: 0.7077, Std: 0.1727, Max Loss: 17.5146, Max Std: 8.1700, Samples: 6220
